parksid,gardenname,jurisdiction,borough,address,cross_streets,zipcode,bbl,lotsize,areacovered,status,openhrssu,openhrsm,openhrstu,openhrsw,openhrsth,openhrsf,openhrssa,coundist,communityboard,nta,census_tract,congressionaldist,assemblydist,statesenatedist,policeprecinct,longitude,latitude,point_geometry_wgs84
M315-GT001,Creative Little Garden,DPR,Manhattan,530 East 6th Street,Avenues A & B,10009,1004010025,,,Active,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 2:00 p.m.,1:00 p.m. - 2:00 p.m.,1:00 p.m. - 2:00 p.m.,1:00 p.m. - 2:00 p.m.,1:00 p.m. - 2:00 p.m.,1:00 p.m. - 4:00 p.m.,2,103,MN22 /,32.0,10,74,27,9,-73.982589,40.724649,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x004\x1A\xF9\xBC\xE2~R\xC0\x1F\x0AfL\xC1\x5CD@
M314-GT001,Miracle Garden,DPR,Manhattan,194 East 3rd Street,Avenues A & B,10009,1003980028,,,Active,12:00 p.m. - 6:00 p.m.,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00 p.m. - 6:00 p.m.,2,103,MN22 /,30.02,10,65,27,9,-73.983567,40.722667,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x000\x9B\x00\xC3\xF2~R\xC0\x00s-Z\x80\x5CD@
M298-GT001,Unity Park,DPR,Manhattan,55 West 128th Street,5th Ave. & Lenox Ave.,10027,1017260014,,,Active,9:00 a.m. - 3:00 p.m.,9:00 a.m. - 3:00 p.m.,9:00 a.m. - 3:00 p.m.,9:00 a.m. - 3:00 p.m.,9:00 a.m. - 3:00 p.m.,9:00 a.m. - 3:00 p.m.,9:00 a.m. - 3:00 p.m.,9,110,MN03 /,208.0,13,70,30,32,-73.942661,40.809341,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xBD\x8D\xCD\x8ET|R\xC0\xEE\x27c|\x98gD@
M113A-GT001,Down to Earth Garden,DPR,Manhattan,546 East 12th Street,At 12th Street,10009,1004050030,,,Active,12:00 p.m. - 5:00 p.m.,CLOSED,1:30 p.m. - 5:00 p.m.,CLOSED,CLOSED,CLOSED,CLOSED,2,103,MN22 /,34.0,10,74,27,9,-73.980217,40.728612,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xED~\x15\xE0\xBB~R\xC0\x92\xBCs(C]D@
M072-GT001,Jenny's Garden,DPR,Manhattan,699 W 138th Street,At 12th Avenue,10031,1021010055,4800.0,Partial Lot,Active,11:00 a.m. - 3:00 p.m.,8:00 a.m. - 10:00 a.m.,8:00 a.m. - 10:00 a.m.,8:00 a.m. - 10:00 a.m.,8:00 a.m. - 10:00 a.m.,8:00 a.m. - 10:00 a.m.,10:00 a.m. - 2:00 p.m.,7,109,MN04 /,225.0,13,71,30,30,-73.955403,40.82276,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x05\xE0\x9FR%}R\xC0\x80:\x1E3PiD@
XGT035,Target Bronx (Anderson Avenue Community Garden),NYRP,Bronx,1001 Anderson Avenue,W 164th & W 165th Streets,10452,2025080037,,,Active,,,,,,,,16,204,BX26 /,189.0,15,77,29,44,-73.927337,40.832377,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xBA\xD7I}Y{R\xC0\xA5x\x5CT\x8BjD@
XGT013,Bette's Rose Garden,NYRP,Bronx,1017 Teller Avenue,E 164th & E 165th,10456,2024320075,,,Active,,,,,,,,16,204,BX14 /,173.0,15,77,32,44,-73.914261,40.828087,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x87\xC0\x91@\x83zR\xC0\x12\x9F;\xC1\xFEiD@
X350-GT001,El Coqui Liberation Community Garden,DPR,Bronx,924 Melrose Avenue,At E. 163rd Street,10451,2023840012,,,Active,11:00 a.m. - 2:00 p.m.,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,10:00 a.m. - 2:00 p.m.,17,203,BX35 /,141.0,15,79,32,42,-73.912971,40.825278,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x92\xCC\xEA\x1DnzR\xC0\xDC\x0D\xA2\xB5\xA2iD@
X339-GT001,Bronx Sunshine Garden,DPR,Bronx,1768 Bryant Avenue,E. 174th & E. 175th (in shopping ctr parking lot),10460,2029980170,,,Active,CLOSED,CLOSED,11:00 a.m.- 2:00 p.m.,9:00 a.m. - 11:00 a.m.,11:00 a.m.- 2:00 p.m.,12:00 p.m. - 3:00 p.m.,1:00 p.m - 5:00 p.m.,17,203,BX75 /,161.0,14,85,32,42,-73.884667,40.836679,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00m6Vb\x9ExR\xC0\xFD\x1F\x27L\x18kD@
X330-GT001,Concrete Dreams Community Garden,DPR,Bronx,745 Jennings Street,Boston Rd & Prospect,10456,2029620062,,,Active,,,,,,,,17,203,BX35 /,151.0,15,79,32,42,-73.89831,40.831977,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xDD\xEA9\xE9}yR\xC0\x1A\x03\xEB8~jD@
X319-GT001,Marie Brooks Community Garden,DPR,Bronx,722 Home Street,Corner of Jackson & Home Street,10456,2026510023,,,Active,10:00 a.m. - 12:00 p.m.,10:00 a.m. - 12:00 p.m.,10:00 a.m. - 12:00 p.m.,10:00 a.m. - 12:00 p.m.,10:00 a.m. - 12:00 p.m.,10:00 a.m. - 12:00 p.m.,10:00 a.m. - 12:00 p.m.,17,203,BX35 /,135.0,15,79,32,42,-73.902651,40.82819,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xE9,\xB3\x08\xC5yR\xC0\xE4oB!\x02jD@"
X317-GT001,159th Street Community Garden,DPR,Bronx,379 East 159th Street,Courtland & Melrose Avenues,10451,2024060029,,,Active,11:00 a.m. - 7:00 p.m.,4:00 p.m. - 7:00 p.m.,4:00 p.m. - 7:00 p.m.,4:00 p.m. - 7:00 p.m.,4:00 p.m. - 7:00 p.m.,4:00 p.m. - 7:00 p.m.,11:00 a.m. - 7:00 p.m.,17,203,BX35 /,141.0,15,79,32,42,-73.91503,40.823333,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xF86\xFD\xD9\x8FzR\xC0\xDC[\xCA\xF9biD@
X315-GT001,Bryant Hill Community Garden,DPR,Bronx,901 Bryant Avenue,Seneca & Garrison Avenues,10474,2027610097,,,Active,CLOSED,8:30 a.m. - 1:00 p.m. & 2:00 p.m. - Sunset,8:30 a.m. - 1:00 p.m. & 2:00 p.m. - Sunset,8:30 a.m. - 1:00 p.m. & 2:00 p.m. - Sunset,8:30 a.m. - 1:00 p.m. & 2:00 p.m. - Sunset,8:30 a.m. - 1:00 p.m. & 2:00 p.m. - Sunset,8:30 a.m. - 1:00 p.m. & 2:00 p.m. - Sunset,17,202,BX27 /,115.02,14,85,29,41,-73.887215,40.819829,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00Ral!\xC8xR\xC0\xFC\xA7\x1B(\xF0hD@
X273-GT001,Community Rock Garden,DPR,Bronx,1665 Longfellow Avenue,E. 173rd & E. 174th Streets.,10460,2030020033,,,Not GreenThumb,,,,,,,,17,203,BX75 /,161.0,14,79,32,42,-73.885408,40.834723,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00y\xE7P\x86\xAAxR\xC0\x09\x1C\x094\xD8jD@
X272-GT001,Wanaqua Garden,DPR,Bronx,462 East 136th Street,Brown Place & Willis,10454,2022800036,,,Active,10:00 a.m. - 3:30 p.m.,10:00 a.m. - 3:30 p.m.,10:00 a.m. - 3:30 p.m.,10:00 a.m. - 3:30 p.m.,10:00 a.m. - 3:30 p.m.,10:00 a.m. - 3:30 p.m.,10:00 a.m. - 3:30 p.m.,8,201,BX39 /,25.0,15,84,29,40,-73.921889,40.806735,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xB2b\xB8:\x00{R\xC0\xF1\xC4\xAC\x17CgD@
X271-GT001,Dred Scott Bird Sanctuary Garden,DPR,Bronx,1304 Grant Ave.,Grant & Morris Avenue,10456,2028160005,,,Not GreenThumb,,,,,,,,16,204,BX14 /,179.02,15,77,32,44,-73.913456,40.836153,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00p\x95\x27\x10vzR\xC0\xE7\xB9\xBE\x0F\x07kD@
X233A-GT001,El Flamboyan,DPR,Bronx,586 Tinton Avenue,At E. 150th Street,10455,2026640026,,,Active,12:00 p.m. - 3:00 p.m.,12:00 p.m. - 3:00 p.m.,12:00 p.m. - 3:00 p.m.,12:00 p.m. - 3:00 p.m.,12:00 p.m. - 3:00 p.m.,12:00 p.m. - 3:00 p.m.,12:00 p.m. - 3:00 p.m.,8,201,BX34 /,79.0,15,84,29,40,-73.905927,40.813766,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x0Fd=\xB5\xFAyR\xC0`L\xFA{)hD@
X010-GT001,Damiana Pizarro Community Garden,DPR,Bronx,580 Crotona Park South,Fulton Ave and Franklin Ave,10456,2029410101,,,Active,10:30 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,3:00 p.m. -  6:00 p.m.,3:00 p.m. -  6:00 p.m.,9:30 a.m. - 11:30 a.m.,15,203,BX35 /,149.0,15,79,32,42,-73.900646,40.835091,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00|\xD1\x1E/\xA4yR\xC0\x8E\x17\x0BC\xE4jD@
X316-GT001,Genesis Community Garden,DPR,Bronx,1185 Franklin Avenue,E. 167th & E. 168th Streets.,10456,2026110050,,,Active,10:00 a.m. - 12:00 p.m. & 4:00 p.m. - 7:00 p.m.,,,,,,10:00 a.m. - 12:00 p.m. & 4:00 p.m. - 7:00 p.m.,17,203,BX35 /,185.02,15,79,32,42,-73.904554,40.829635,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xD3\xDDu6\xE4yR\xC0\xF8N\xCCz1jD@
X313-GT001,El Batey Borincano,DPR,Bronx,815 Eagle Avenue,E. 158 & E. 159 Streets.,10456,2026180036,,,Active,2:00 p.m. - 4:00 p.m.,12:00 p.m. - 2:00 p.m.,12:00 p.m. - 2:00 p.m.,12:00 p.m. - 2:00 p.m.,12:00 p.m. - 2:00 p.m.,12:00 p.m. - 2:00 p.m.,2:00 p.m. - 4:00 p.m.,17,201,BX34 /,75.0,15,79,32,40,-73.909288,40.820768,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00L\xA9K\xC61zR\xC0<\xCD\x02\xED\x0EiD@
BGT123,Oak Grove Pentecostal Holiness Church,PRI,Brooklyn,2176 FULTON STREET,,11233,3015520021,,,Not GreenThumb,,,,,,,,37,316,BK79 /,369.0,8,55,25,73,-73.909494,40.677959,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00 zR&5zR\xC0\xB3\x83J\x5C\xC7VD@
BGT066,Q Gardens Community Farm,MTA/BQLT,Brooklyn,69 East 18th Street,between Church Ave. and Caton Ave.,11226,3050780032,,,Active,,,,,,,,40,314,BK42 /,506.0,9,42,21,70,-73.962982,40.649673,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xBF(A\x7F\xA1}R\xC0\x0D\x0C |(SD@
BGT055,United Herkimer Garden Club,BQLT,Brooklyn,97 Herkimer Street,Nostrand & Bedford Avenue,11216,3018600062,,,Active,,,,,,,,36,303,BK61 /,247.0,8,57,25,79,-73.950167,40.679897,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00B\xAF?\x89\xCF|R\xC0\x01\xD3i\xDD\x06WD@
BGT046,The People's Garden,BQLT,Brooklyn,"1237 Greene Avenue,",Van Buren Street & Bushwick Avenue,11221,3032830003,,,Active,,,,,,,,37,304,BK78 /,419.0,7,53,18,83,-73.920864,40.696695,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x14\x04\x8Fo\xEFzR\xC0\xB3$@M-YD@
BGT032,64th Street Community Garden,NYSDOT,Brooklyn,373 64th Street,West of 4th Avenue (Dead End St.),11220,3005808999,11613.0,Partial Lot,Active,,3 p.m. to 6 p.m.,3 p.m. to 6 p.m.,3 p.m. to 6 p.m.,3 p.m. to 6 p.m.,3 p.m. to 6 p.m.,10 a.m. to 5 p.m.,38,307,BK32 /,72.0,10,51,26,72,-74.020952,40.638885,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00J\xB2\x0EGW\x81R\xC0\xD5s\xD2\xFB\xC6QD@
BGT031,Contented Hart Garden,BQLT,Brooklyn,1475 Bushwick Avenue,Pilling St. & Granite St.,11207,3034570003,,,Active,,,,,,,,37,304,BK78 /,403.0,7,54,18,83,-73.907171,40.683606,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00L8\xF4\x16\x0FzR\xC0\xB6\xAC\xC2f\x80WD@
BGT019,Williams Avenue Community Garden,NYRP,Brooklyn,88 Williams Avenue,Liberty Ave. & Atlantic Ave.,11207,3036820050,,,Active,,,,,,,,37,305,BK85 /,1144.0,8,55,19,75,-73.900623,40.674257,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA0\xC1\xA6\xCE\xA3yR\xC0\xAF\x0C\xAA\x0DNVD@
BGT017,Heaven's Gate Community Garden (Hart Street),BQLT,Brooklyn,169 Hart Street,Throop Ave. & Tompkins Ave.,11206,3017680065,,,Active,11:00a - 4:00p,,,,,,11:00a - 4:00p,36,303,BK75 /,261.0,8,56,25,79,-73.944606,40.693882,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xBEf\xB9lt|R\xC0:\xA4\x18 \xD1XD@
BGT013,Clifton Place Block Association Garden,BQLT,Brooklyn,289 Grand Avenue,Clifton Pl. & Greene Avenue,11238,3019520003,,,Not GreenThumb,,,,,,,,35,302,BK69 /,231.0,7,57,25,88,-73.962356,40.687645,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\xC7\x9E=\x97}R\xC0\x00!Y\xC0\x04XD@
BGT006,John the Baptist Community Garden,BQLT,Brooklyn,10 Stuyvesant Avenue,Broadway & Vernon Ave.,11206,3015860041,,,Active,,,,,,,,36,303,BK35 /,287.0,8,56,25,81,-73.935048,40.69638,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00,\x0C\x91\xD3\xD7{R\xC0R\xCB\xD6\xFA\x22YD@"
B593-GT001,Bed-Stuy Farm,DPR/PRI,Brooklyn,404 Decatur Street,Btwn Malcolm X & Patchen Avenue,11233,3016820058,2500.0,Full Lot,Active,12:00 p.m. - 4:00 p.m.,7:00 a.m. - 9:00 a.m.,7:00 a.m. - 8:00 a.m.,7:00 a.m. - 8:00 a.m.,7:00 a.m. - 9:00 a.m. & 5:00 p.m. - 7:00 p.m.,7:00 a.m. - 9:00 a.m. & 5:00 p.m. - 7:00 p.m.,8:00 a.m. - 12:00 p.m.,36,303,BK61 /,381.0,8,56,25,81,-73.92687,40.681968,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00/i\x8C\xD6Q{R\xC0\x90u8\xBAJWD@
B538-GT001,Welcome Home Garden,DPR,Brooklyn,681 Halsey Street,Ralph & Patchen,11233,3016630082,,,Active,4:00 p.m. to 6:00 p.m.,CLOSED,11:00 a.m. to 1:00 p.m.,10:00 a.m. - 1:00 p.m.,CLOSED,CLOSED,10:00 a.m. to 1:00 p.m.,41,303,BK35 /,383.0,8,56,25,81,-73.925313,40.68486,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x13d\x04T8{R\xC0Z+\x13~\xA9WD@
B521-GT001,Oriental Garden,DPR,Brooklyn,326 Jerome Street,Glenmore & Pitkin,11207,3039970004,,,Active,2:00 p.m. - 5:00 p.m.,CLOSED,CLOSED,CLOSED,2:00 p.m. - 5:00 p.m.,2:00 p.m. - 5:00 p.m.,.2:00 p.m. - 5:00 p.m.,42,305,BK82 /,1150.0,8,54,19,75,-73.887151,40.67383,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00G\xE7\xFC\x14\xC7xR\xC0(\x88\xBA\x0F@VD@
B515-GT001,ENY Youth Farm,DPR,Brooklyn,620 Schenck Avenue,At Livonia,11207,3040890013,5000.0,Full Lot,Active,CLOSED,CLOSED,11:00 a.m. to 3:00 p.m.,11:00 a.m. to 3:00 p.m.,11:00 a.m. to 3:00 p.m.,11:00 a.m. to 3:00 p.m.,11:00 a.m. to 2:00 p.m.,42,305,BK82 /,1124.0,8,60,19,75,-73.886831,40.665272,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x0E\x85\xCF\xD6\xC1xR\xC0\xE4x\x05\xA2\x27UD@
B512-GT001,It's All About Brownsville,DPR,Brooklyn,754 Thomas Boyland Street,At Livonia Avenue,11212,3035860041,1500.0,Full Lot,Active,8:00 a.m. - 9:00 a.m.,CLOSED,8:00 a.m. - 12:00 p.m.,8:00 a.m. - 10:00 a.m.,9:00 a.m. - 11:00 a.m. & 2:00 p.m. - 4:00 p.m.,CLOSED,10:00 a.m. - 2:00 p.m,41,316,BK81 /,898.0,8,55,25,73,-73.911973,40.661978,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00ru\x00\xC4]zR\xC0\xF1U\xF2\xB1\xBBTD@
B504-GT001,Ponderosa Garden,DPR,Brooklyn,660 East 105th Street,north of Glenwood Rd.,11236,3081730063,2000.0,Full Lot,Active,4:30 p.m. -  6:00 p.m.,4:00 p.m. - 6:00 p.m.,2:00 p.m. - 5:00 p.m. &  6:30 p.m. - 8:30 p.m.,8:30 a.m.  -  2:00 p.m.,9:00 a.m. - 11a.m. &   6:30 p.m.  -  8:30 p.m.,10:00 a.m. - 1:00 p.m. &  2:00 p.m. - 5:00 p.m.,9:00 a.m. - 2:00 p.m.,42,318,BK50 /,974.0,8,58,19,69,-73.897056,40.649653,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x8F\xAB\x91]iyR\xC0\xC7_Z\xD4\x27SD@
B491-GT001,Shield of Faith,DPR,Brooklyn,81 Montauk Avenue,Atlantic & Liberty,11208,3039760002,,,Active,,9:00a - 11:30a,9:00a - 11:30a,9:00a - 11:30a,9:00a - 11:30a,9:00a - 11:30a,10:00p - 3:00p,37,305,BK82 /,1192.0,7,54,19,75,-73.878503,40.677552,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x06\x9C\xA5d9xR\xC0n\xAB \x06\xBAVD@
B458-GT001,East End Community Garden,DPR,Brooklyn,260 Van Siclen Avenue,At Glenmore Avenue,11207,3039930018,,,Active,11:00 a.m. - 2:00 p.m.,9:00 a.m. - 11:00 a.m.,9:00 a.m. - 11:00 a.m.,9:00 a.m. - 11:00 a.m.,CLOSED,CLOSED,CLOSED,42,305,BK82 /,1152.0,8,54,19,75,-73.890822,40.673551,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xAB#G:\x03yR\xC0\x15\x98N\xEB6VD@
B444-GT001,Berry Street Garden,DPR,Brooklyn,303 Berry Street,S 2nd & 3rd Streets,11249,3024170003,,,Active,CLOSED,CLOSED,CLOSED,CLOSED,10:00 a.m. - 12:30 p.m.,1:30 p.m. - 4:00 p.m.,12:00 p.m. - 5:00 p.m.,34,301,BK73 /,551.0,7,50,59,90,-73.963596,40.713328,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x9C\xA3\x8E\x8E\xAB}R\xC0\x18\xA9\xF7TN[D@
B422-GT001,Brooklyn Bears/Rockwell Place Garden,DPR,Brooklyn,104 Rockwell Place,At Lafayette Avenue,11217,3021060001,,,Active,12:00 p.m. - 5:00 p.m.,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,10:00 a.m. - 3:00 p.m.,35,302,BK68 /,33.0,7,57,26,88,-73.979267,40.686946,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00T\xC3~O\xAC~R\xC0\x1C\x0F\xB6\xD8\xEDWD@
B410-GT001,Backyard Garden,DPR,Brooklyn,69 Hamilton Avenue,At Van Brunt Street,11231,3003520006,1037.0,Full Lot,Active,10:00 a.m. to 3:00 p.m.,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,10:00 a.m. to 3:00 p.m.,39,306,BK33 /,51.0,10,51,26,76,-74.005585,40.683223,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00H\x160\x81[\x80R\xC0\x00p\xEC\xD9sWD@
B302-GT001,Raise the Roof Garden,DPR,Brooklyn,158 Hopkins Street,Tomkins & Throop,11206,3017260114,,,Not GreenThumb,,,,,,,,36,303,BK75 /,257.0,8,56,25,79,-73.94598,40.699139,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xE4\xAA\xB2\xEF\x8A|R\xC0\xD9-\x02c}YD@
B126-GT001,Red Hook Community Farm / Added Value,DPR,Brooklyn,558 Columbia Street,Otsego/Sigourney/Halleck,11231,3006070001,152165.0,Full Lot,Not GreenThumb,,,,,,,,38,306,BK33 /,53.02,10,51,26,76,-74.009838,40.672472,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x84\x10\x90/\xA1\x80R\xC0\xE3\xBC\xFF\x8F\x13VD@
B563-GT001,ISO Student Farm,DPR,Brooklyn,514 Rockaway Avenue,Sutter Ave. & Belmont Ave.,11212,3035210073,2500.0,Full Lot,Active,,8:00 a.m. - 1:00 p.m.,8:00 a.m. - 1:00 p.m.,8:00 a.m. - 1:00 p.m.,8:00 a.m. - 1:00 p.m.,8:00 a.m. - 1:00 p.m.,8:00 a.m. - 1:00 p.m.,41,316,BK81 /,924.0,8,55,25,73,-73.910481,40.667464,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00H\xA8\x19REzR\xC0\xF0\xA0\xD9uoUD@
B535-GT001,400 Montauk Community Garden,DPR,Brooklyn,956 New Lots Ave,at Montauk Ave.,11208,3044550009,,,Active,12:00 p.m. - 4:00 p.m.,CLOSED,CLOSED,CLOSED,9:30 a.m. - 11:30 a.m.,CLOSED,11:00 a.m. - 3:00 p.m.,42,305,BK82 /,1118.0,8,60,19,75,-73.877132,40.668748,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x9B\x91A\xEE\x22xR\xC0\xF9\xA1\xD2\x88\x99UD@
B413-GT001,Betty's Community Garden at Hull Street,DPR,Brooklyn,227 Hull Street,Mother Gaston & Broadway,11233,3015350050,2000.0,Full Lot,Active,10:00 a.m. - 2:00 p.m.,11:00 a.m. -  1:00 p.m.,CLOSED,CLOSED,CLOSED,CLOSED,10:00 a.m. -12:00 p.m. & 4:00 p.m. - 6:00 p.m.,37,316,BK79 /,369.0,8,55,25,73,-73.907681,40.68014,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xD6\x8C\x0Cr\x17zR\xC0\xC7Y\xD8\xD3\x0EWD@
QGT007,Malcolm X Garden,BQLT,Queens,33-12 112th Street,corner of 111-26 Northern Blvd and 112th Street,11368,4017260014,,,Active,,,,,,,,21,403,QN26 /,381.0,14,35,13,115,-73.857711,40.757571,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xD8\x9A\xAD\xBC\xE4vR\xC0\xF3\xB2&\x16\xF8`D@
QGT003,Back To Eden Community Garden,BQLT,Queens,144-29 Lakewood Avenue,corner of Inwood St.,11435,4100780035,,,Active,,,,,,,,28,412,QN01 /,196.0,5,32,10,103,-73.803594,40.689588,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xC2P\x87\x15nsR\xC0e\xDBikDXD@
Q505-GT001,Community Serenity Garden,DPR,Queens,30-15 Seagirt Boulevard,At Beach 31st Street,11691,4158060001,,,Active,,,9:00 a.m. to 2:30 p.m.,,9:00 a.m. to 4:00 p.m.,9:00 a.m. to 6:00 p.m.,8:00 a.m. to 2:00 p.m.,31,414,QN12 /,992.0,5,23,10,101,-73.763592,40.595586,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00/\xDF\xFA\xB0\xDEpR\xC0J\xFA{)<LD@
Q503-GT001,Beach 36th Street Community Garden,DPR,Queens,426 Beach 36th Street,,11691,4159520013,3067.0,Full Lot,Inactive (Group Forming),,,,,,,,31,414,QN12 /,992.0,5,31,10,101,-73.768887,40.597022,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00t\xD4\xD1q5qR\xC0\x0B\x7F\x867kLD@
Q487-GT001,Paradise Community Garden NY,DPR,Queens,107-29 Inwood Street,Lakewood & Shore Avenues,11435,4100810006,5000.0,,Active,11:00a - 4:00p,4:00p - 6:00p,4:00p - 6:00p,4:00p - 6:00p,4:00p - 6:00p,4:00p - 6:00p,10:00a - 3:00p,28,412,QN01 /,198.0,5,32,10,103,-73.804028,40.690572,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00_D\xDB1usR\xC0C\xC4\xCD\xA9dXD@
Q473-GT001,Sparrow's Nest Community Garden,DPR,Queens,54-01 101st Street,Lewis Ave. and Martense Ave,11368,4019390011,,,Active,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,21,404,QN25 /,443.01,14,35,13,110,-73.85909,40.740335,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x85\x94\x9FT\xFBvR\xC0\xC7\x8A\x1AL\xC3^D@
BGT030,Imani Community Garden (Schenectady),NYRP,Brooklyn,87 Schenectady Avenue,btw Pacific St. and Dean St.,11213,3013420005,2017.0,Full Lot,Active,,,,,,,,36,308,BK61 /,309.0,9,56,20,77,-73.93289,40.676314,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xFD0Bx\xB4{R\xC0\xD9\xE9\x07u\x91VD@
