parksid,gardenname,jurisdiction,borough,address,cross_streets,zipcode,bbl,lotsize,areacovered,status,openhrssu,openhrsm,openhrstu,openhrsw,openhrsth,openhrsf,openhrssa,coundist,communityboard,nta,census_tract,congressionaldist,assemblydist,statesenatedist,policeprecinct,longitude,latitude,point_geometry_wgs84
X164-GT001,Wishing Well Garden,DPR,Bronx,864 Reverend James A. Polite Avenue,Reverend Polite/ Dawson Street,10459,2026960079,15409.0,,Active,,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,17,202,BX33 /,87.0,14,85,32,41,-73.898632,40.819497,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xE7\xC8\xCA/\x83yR\xC0\xC5\x15\x17G\xE5hD@
XGT027,Manor Avenue Seniors Garden,BLT,Bronx,1021 Manor Avenue,Bruckner Blvd & Watson,10472,2037160059,2500.0,Full Lot,Active,,,,,,,,18,209,BX55 /,50.01,14,85,32,43,-73.87568,40.82467,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xB9p $\x0BxR\xC0\x07\xFF[\xC9\x8EiD@
BGT178,Transit Garden,BQLT,Brooklyn,134 2nd Place,Smith Street and Court Street,11231,3004630021,2300.0,Partial Lot,Not GreenThumb,,,,,,,,39,306,BK33 /,77.0,10,52,26,76,-73.996225,40.678889,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00I\x9D\x80&\xC2\x7FR\xC0\x9DN\xB2\xD5\xE5VD@
BGT175,Newkirk Community Garden,PRI,Brooklyn,736 East 8th Street,Newkirk Avenue,11230,3054210047,2258.0,Full Lot,Active,11:00a - 2:00p,,,,,,11:00a - 2:00p,40,314,BK42 /,482.0,9,44,21,70,-73.968353,40.63224,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xF1~\xDC~\xF9}R\xC0\x8F\x9C\x85=\xEDPD@
BGT048,Prospect Heights Community Farm,BANG,Brooklyn,252-256 St. Marks Avenue,Underhill & Vanderbilt Avenues,11238,3011520021,,,Active,10:00 a.m. to 6:00 p,,4:00 p.m. to 6:00 p,4:00 p.m. to 6:00 p,4:00 p.m. to 6:00 p,5:00 to 7:00 p,10:00 a.m. to 4:00 p,35,308,BK64 /,205.0,10,44,25,77,-73.967744,40.678089,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x9D\xB9\x87\x84\xEF}R\xC0\x7Fc\xCF\x9E\xCBVD@
BGT034,Brooklyn College Garden,PRI,Brooklyn,2109 Campus Road,Campus Road and Ave. H (E. 21st Street & Ocean Avenue),11210,3075520100,,,Not GreenThumb,,,,,,,,45,314,BK42 /,766.0,9,42,21,70,-73.95618,40.631459,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xB7E\x99\x0D2}R\xC0\xE8\xE1\x04\xA6\xD3PD@
BGT029,Cooper Street Community Garden,NYRP,Brooklyn,34 Cooper Street,Bushwick Avenue & Broadway,11207,3034380024,,,Active,12:00p to 6:00p,11:00a - 6:00p,,11:00a - 4:00p,,11:00a - 6:00p,11:00am - 6:00pm,37,304,BK78 /,403.0,7,54,18,83,-73.910509,40.684199,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xADm\x8A\xC7EzR\xC0]z4\xD5\x93WD@
BGT002,Central Bainbridge Street Community Garden,BQLT,Brooklyn,269 Patchen Avenue,Ralph & Patchen Avenues,11233,3016830091,,,Active,,,,,,,,41,303,BK61 /,381.0,8,56,25,81,-73.925861,40.68197,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x14\xE9~NA{R\xC03m\xFF\xCAJWD@
B586-GT001,Surf Avenue Community Garden,DPR,Brooklyn,2801 Surf Avenue,,11224,3070520047,4023.0,Full Lot,Inactive (No Group),,,,,,,,47,313,BK21 /,342.0,8,46,23,60,-73.994061,40.573281,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA9N\x07\xB2\x9E\x7FR\xC0\x875\x95EaID@
B575-GT001,462 Halsey Community Farm,DPR,Brooklyn,462 Halsey Street,Marcus Garvey & Lewis Avenue,11233,3016640040,,,Active,9:00 a.m. to 6:00 p.m.,CLOSED,CLOSED,10:00 a.m. to 8:00 p.m.,10:00 a.m. to 8:00 p.m.,10:00 a.m. to 8:00 p.m.,9:00 a.m. to 8:00 p.m.,36,303,BK35 /,275.0,8,56,25,81,-73.935663,40.683203,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xF2D\x10\xE7\xE1{R\xC0\xB9\xC3&2sWD@
